dia,mes,hora,municipio,bairro,atingidos,mortos,feridos,agentes mortos,agentes feridos,presenca_policial,detalhes da vitima
21,2,-,Duque de Caxias,Imbariê,1,0,1,0,0,sim,criança 7 anos
24,2,22:00,Rio de Janeiro,Copacabana,1,1,0,0,0,não,criança 10 anos
16,3,20:30,Rio de Janeiro,Complexo do Alemão,2,1,1,0,0,sim,criança 11 e 2 anos
19,3,20:34,São Gonçalo,Nova Cidade,1,0,1,0,0,não,criança 2 anos
25,4,15:00,Rio de Janeiro,Cavalcanti,1,0,1,0,0,não,criança 11 anos
25,4,14:00,Belford Roxo,Jardim do Ipê,1,0,1,0,0,não,Criança 8 anos
27,4,18:45,Rio de Janeiro,Engenho Novo,2,0,2,0,0,sim,criança 11 anos
14,5,20:00,Rio de Janeiro,Cosme Velho,1,0,1,0,0,não,Bebe 6 meses
5,8,6:00,Rio de Janeiro,Freguesia/Ilha do Governador,2,0,2,0,0,não,desconhecido
26,8,20:30,Rio de Janeiro,Bangu,1,0,1,0,0,não,Bebê 9 meses
10,9,7:16,Rio de Janeiro,Vicente de Carvalho,1,0,1,0,0,sim,criança 9 anos
