bairros,disparos,presenca_policial,mortos,feridos
Complexo do Alemão,154,31,13,14
Rocinha,113,31,19,17
Cidade de Deus,107,16,8,5
Complexo do São Carlos,79,23,7,6
Vila Kennedy,64,9,1,2
Complexo de Manguinhos,57,13,6,3
Complexo da Penha,56,14,8,2
PPG,53,10,2,6
Vidigal,52,10,0,3
Borel,48,2,0,1
Macacos,48,13,1,10
Complexo do Lins,42,11,9,7
Formiga,38,4,0,2
Jacarezinho,37,12,1,4
São João,33,4,3,4
Providência,32,13,0,4
Chapéu Mangueira/Babilônia,31,8,1,3
Santa Marta,30,5,1,0
Andaraí,23,1,1,1
Caju,21,6,6,1
Turano,21,1,0,2
Mangueirinha,17,0,0,1
Tabajaras,16,4,3,3
Mangueira,14,1,0,0
Barreira do Vasco/Tuiutí,13,3,0,1
Salgueiro,11,2,0,0
Prazeres,6,1,0,2
Batan,2,0,0,0
